trial,email contents,expected result,gotten result,safe probability,phishing probability,success
1,"Hi James, Just a quick reminder that we have a team meeting scheduled for tomorrow at 10 AM. We’ll be discussing the upcoming project deadlines and updates. Looking forward to seeing you there! Best regards, Sarah Clark, Project Manager, InnovateTech Solutions",Safe,Safe,0.9999998808,0.00000011920929,1
1,"Hi Olivia, Thank you for shopping with us at UrbanGoods Store! We just wanted to let you know that your order has been processed and will ship shortly. Order Summary: Item 1: Wireless Headphones, Quantity: 1, Total: $120.00. We hope you love your purchase. If you have any questions or need further assistance, don't hesitate to reach out. Best regards, The UrbanGoods Store Team",Safe,Safe,0.9996840954,0.0003159046,1
1,"Hi Ethan, We’re excited to invite you to BrightStar Corporation's Annual Holiday Party! It’s going to be a fun evening of celebrations, food, and great company. Date: December 20, 2024. Time: 6:00 PM. Location: The Grand Ballroom, 456 Elm Street, Downtown. Please RSVP by December 15th. We look forward to celebrating with you! Best, Megan Johnson, Event Coordinator, BrightStar Corporation",Safe,Safe,0.9999870062,0.00001299381256,1
1,"Hi Sarah, I wanted to provide you with a quick update on the Website Redesign project. Here’s where we currently stand: Completed tasks: Homepage redesign, Mobile layout optimization. In progress: Content migration, User testing. Upcoming milestones: Final design approval, Launch date planning. Feel free to reach out if you have any questions or need more details. Best regards, Michael Brown, Project Lead, WebWorks Agency",Safe,Safe,0.9999985695,0.000001430511475,1
1,"Dear Jack, We hope you are enjoying your recent purchase! We would appreciate it if you could take a moment to share your feedback about your experience with us. Click here to leave a review: [Link]. Your opinion helps us improve and provide better service to all our customers. Thank you for your time! Best regards, Customer Support Team, TechGear Electronics",Safe,Safe,0.9999991655,0.000000834465027,1
1,"Dear Valued Customer, We have detected unauthorized access to your account. For your security, we have temporarily locked your account until further verification is completed. To unlock your account, please click the link below and verify your identity. Failure to do so within 24 hours may result in permanent account suspension. [Click here to verify your account]. Best regards, Account Security Team, ExampleBank.com",Phishing,Safe,0.75332582,0.24667418,0
1,"Dear Winner, You’ve been selected to receive a $1,000 gift card! This is a special reward for participating in our recent survey. All you need to do is click the link below and claim your prize. [Click here to claim your prize]. Hurry, this offer expires in 48 hours! Don’t miss out! Sincerely, Prize Notification Team",Phishing,Safe,0.9958385229,0.004161477089,0
1,"Dear Customer, Our records indicate that your payment for Invoice #987654321 is overdue. Failure to pay will result in a late fee and suspension of services. Please process the payment immediately by clicking the link below to pay via your preferred method. [Pay Invoice Now]. Thank you, Billing Department, GlobalTech Solutions",Phishing,Safe,0.8042644858,0.1957355142,0
1,"Dear User, We’ve noticed unusual login activity from an unfamiliar location on your account. To protect your personal data, we’ve temporarily locked your account. Please click the link below to confirm your identity and restore access.. [Confirm Your Identity]. Failure to act within 24 hours will result in a permanent lock on your account. Thank you for your cooperation, The Support Team, Example.com",Phishing,Phishing,0.8354434967,0.1645565033,1
1,"Dear John, We are excited to offer you a high-paying job position with our company! The salary is $50,000 per year, and we’d love for you to join our team immediately. To proceed, simply click the link below and submit your personal information, including your bank details for payroll purposes. [Apply Now]. We look forward to welcoming you aboard! Best regards, Hiring Manager, Hanfird Global Recruitment",Phishing,Safe,0.9999898672,0.00001013278961,0
2,"Dear Ms. Carter, I hope this email finds you well. My name is John Matthews, and I am the Operations Manager at Lighthouse Enterprises. We recently came across your company, Greenfield Solutions, and were impressed by your innovative approach to digital marketing. We are interested in exploring potential collaboration opportunities and would like to learn more about your services. Could we schedule a call or meeting to discuss this further? Looking forward to your response. Best regards, John Matthews, Operations Manager, Lighthouse Enterprises",Safe,Safe,0.9716220498,0.02837795019,1
2,"Dear Mr. Rodriguez, I am writing to follow up on my application for the Marketing Specialist position at Blue Horizon Agency, submitted on November 20th. I remain enthusiastic about the opportunity to contribute my skills to your team and am happy to provide any additional information or documents if needed. Please let me know if there are any updates regarding the hiring process. Thank you for your time and consideration. Kind regards, Samantha Lee",Safe,Safe,0.9983258843,0.001674115658,1
2,"Dear Customer Support Team at CozyNest Furnishings, I recently purchased a set of dining chairs (Order #CN12345) from your store, and I wanted to share my feedback. The chairs were delivered promptly and are of excellent quality. However, one chair arrived with a minor scratch on the leg. Could you please advise on the next steps to address this issue? I have attached a photo for reference. Thank you for your assistance. Best regards, Anthony Parker",Safe,Safe,0.9987046719,0.00129532814,1
2,"Dear Dr. Thompson, My name is Emily Wright, and I am a Project Manager at Innovatech Labs. I am reaching out to request a meeting to discuss a potential collaboration between Innovatech and SolarEdge Solutions, focusing on renewable energy innovations. Please let me know your availability over the next two weeks, and I will do my best to accommodate. Looking forward to your reply. Warm regards, Emily Wright, Project Manager, Innovatech Labs",Safe,Safe,0.9997107387,0.0002892613411,1
2,"Dear Mr. Taylor, On behalf of Vanguard Tech Conferences, I am delighted to invite you to our Annual Tech Innovations Conference, scheduled for March 15th, 2024, at the Grand Plaza Hotel in San Francisco. This year’s theme is ""Shaping the Future of Technology,"" and we would be honored to have you join us as a guest or participant. Please find the event agenda attached. Feel free to contact me for further details. Best regards, Laura Nguyen, Event Coordinator, Vanguard Tech Conferences",Safe,Safe,0.999966979,0.00003302097321,1
2,"Dear John, We regret to inform you that your account has been temporarily suspended due to suspicious activity. To regain access, you must verify your identity. Click the link below to confirm your account details and lift the suspension: [Verify Your Account]. Failure to act within 48 hours will result in permanent suspension of your account. Best regards, Account Support Team. SafeBank Services",Phishing,Phishing,0.9997180104,0.0002819895744,1
